Attack_Type,Model,Precision,Recall,F1_Score,AUC,Inference_Time
DoS,OneClassSVM,0.8896797153024911,1.0,0.9416195856873822,1.0,28.140115976333618
DoS,LOF,0.8186655751125665,1.0,0.9002925950934053,1.0,23.768998622894287
DoS,Autoencoder,1.0,0.875,0.9333333333333333,1.0,2.4253923892974854
DoS,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.002014636993408203
DoS,EllipticEnvelope,0.7989134776703682,1.0,0.8882177910023538,0.9997194,0.015252351760864258
DoS,IsolationForest,0.7995522507395858,1.0,0.8886124316879194,0.9981971,1.0918047428131104
Fuzzy,OneClassSVM,0.8874671022778836,0.9779,0.9304914601075218,0.9911947759999999,26.131311416625977
Fuzzy,LOF,0.8182638660978011,0.9973,0.8989543897602308,0.9986252480000001,15.396531581878662
Fuzzy,Autoencoder,0.9974857142857143,0.8728,0.9309866666666666,0.9988332280000001,0.015778541564941406
Fuzzy,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.0019953250885009766
Fuzzy,EllipticEnvelope,0.798607777244359,0.9981,0.8872788692328207,0.997753748,0.013431310653686523
Fuzzy,IsolationForest,0.7995362226131457,0.9999,0.8885630498533724,0.995966892,1.4144670963287354
Gear,OneClassSVM,0.8896797153024911,1.0,0.9416195856873822,1.0,30.525203227996826
Gear,LOF,0.8186655751125665,1.0,0.9002925950934053,1.0,21.217825412750244
Gear,Autoencoder,1.0,0.875,0.9333333333333333,1.0,0.01373600959777832
Gear,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.0020568370819091797
Gear,EllipticEnvelope,0.7989134776703682,1.0,0.8882177910023538,0.99912,0.012513160705566406
Gear,IsolationForest,0.7995522507395858,1.0,0.8886124316879194,0.99575746,1.279207468032837
RPM,OneClassSVM,0.8819160079992382,0.9261,0.9034681235061705,0.963399952,27.299687147140503
RPM,LOF,0.8185318695723415,0.9991,0.8998468882284067,0.999531032,14.297449588775635
RPM,Autoencoder,0.9974857142857143,0.8728,0.9309866666666666,0.9974347400000001,0.012676239013671875
RPM,DBSCAN,0.2849643794525684,0.228,0.25331926004110883,0.49958,0.0019805431365966797
RPM,EllipticEnvelope,0.7938237221494102,0.9691,0.8727485590778098,0.9896730200000001,0.014068841934204102
RPM,IsolationForest,0.7989897370109045,0.9965,0.8868814524741901,0.98046576,1.2236745357513428
Realistic_Phantom_ECU,OneClassSVM,0.9803152693906361,1.0,0.9900597996118966,1.0,43.655855894088745
Realistic_Phantom_ECU,LOF,0.9658849437854963,1.0,0.982646463455378,1.0,6.2661707401275635
Realistic_Phantom_ECU,Autoencoder,1.0,0.35,0.5185185185185185,1.0,0.0151824951171875
Realistic_Phantom_ECU,DBSCAN,0.7149909391989002,0.22884,0.3467115131130403,0.500395,0.0015685558319091797
Realistic_Phantom_ECU,EllipticEnvelope,0.9610394602802391,1.0,0.9801327099689298,0.9997850939999999,0.008781671524047852
Realistic_Phantom_ECU,IsolationForest,0.9612426945555214,1.0,0.9802383939774153,0.9995296195,0.9821860790252686
