Model,F1-Score,AUC,Precision,Recall,Training Time (s),Inference Time (s)
LOF,0.9893,0.9926,0.9939,0.9847,5.304,23.615
Autoencoder,0.9881,0.9879,0.9971,0.9793,26.087,0.041
OneClassSVM,0.9878,0.9884,0.9968,0.9791,7.167,29.281
EllipticEnvelope,0.9872,0.9875,0.9942,0.9803,1.673,0.017
IsolationForest,0.9869,0.984,0.9937,0.9803,1.417,1.306
DBSCAN,0.3682,0.5008,0.9442,0.2287,6.942,0.002
