Model,Precision,Recall,F1-Score,AUC,Training Time (s),Inference Time (s),True Positives,False Positives
OneClassSVM,0.9967747850755606,0.9790538750860835,0.9878348619930302,0.9883755073560284,7.167205572128296,29.281116485595703,92408,299
LOF,0.9938830725796965,0.984679769031096,0.9892600161791629,0.9925931404554516,5.304066181182861,23.615000247955322,92939,572
Autoencoder,0.9970875357316218,0.9793399374900673,0.9881340531295099,0.9878941704018105,26.086678743362427,0.040767669677734375,92435,270
DBSCAN,0.9442306009972881,0.22871218943688085,0.3682311700939043,0.5008209210764102,6.9422314167022705,0.001993894577026367,21587,1275
EllipticEnvelope,0.9941763637731146,0.9803146686443821,0.9871968589627322,0.9874810540617942,1.672741174697876,0.017311811447143555,92527,542
IsolationForest,0.9936531460420761,0.9803040737405309,0.9869334727096244,0.984043374762741,1.4168438911437988,1.3056983947753906,92526,591
